timestamp,action,voucher_id,from_status,to_status,route,actor_ip,user_agent,note
2025-09-11T02:49:40,ops_set_status,UF-20250911-MHGAW,Unverified,Unredeemed,/ops/voucher/UF-20250911-MHGAW/status/Unredeemed,"45.22.20.98, 10.84.7.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-11T02:49:54,redeem_success,UF-20250911-MHGAW,Unredeemed,Redeemed,/redeem/UF-20250911-MHGAW,"45.22.20.98, 10.84.6.9","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1",enforce_phases=0
2025-09-11T03:32:37,ops_set_status,UF-20250911-6P59G,Unverified,Unredeemed,/ops/voucher/UF-20250911-6P59G/status/Unredeemed,"45.22.20.98, 10.84.0.51","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-11T03:32:50,redeem_success,UF-20250911-6P59G,Unredeemed,Redeemed,/redeem/UF-20250911-6P59G,"45.22.20.98, 10.84.7.8","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1",enforce_phases=0
2025-09-11T04:05:22,ops_set_status,UF-20250911-MY1RU,Unverified,Unredeemed,/ops/voucher/UF-20250911-MY1RU/status/Unredeemed,"45.22.20.98, 10.84.0.51","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-11T04:05:34,redeem_success,UF-20250911-MY1RU,Unredeemed,Redeemed,/redeem/UF-20250911-MY1RU,"45.22.20.98, 10.84.3.6","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1",enforce_phases=0
2025-09-11T04:23:42,ops_set_status,UF-20250911-BS231,Unverified,Unredeemed,/ops/voucher/UF-20250911-BS231/status/Unredeemed,"45.22.20.98, 10.84.6.7","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-13T12:59:58,ops_set_status,UF-20250913-M6NRE,Unverified,Unredeemed,/ops/voucher/UF-20250913-M6NRE/status/Unredeemed,"98.58.130.163, 10.84.6.9","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-13T13:00:31,redeem_success,UF-20250913-M6NRE,Unredeemed,Redeemed,/redeem/UF-20250913-M6NRE,"98.58.130.163, 10.84.6.9","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",enforce_phases=0
2025-09-13T22:35:25,ops_set_status,UF-20250913-TC5DO,Unverified,Unredeemed,/ops/voucher/UF-20250913-TC5DO/status/Unredeemed,"98.58.130.163, 10.84.7.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",token_ok=1
2025-09-13T22:36:28,redeem_success,UF-20250913-TC5DO,Unredeemed,Redeemed,/redeem/UF-20250913-TC5DO,"98.58.130.163, 10.84.7.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",enforce_phases=0
2025-09-13T22:36:42,redeem_success,UF-20250911-BS231,Unredeemed,Redeemed,/redeem/UF-20250911-BS231,"98.58.130.163, 10.84.7.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",enforce_phases=0
2025-09-30T07:17:06,ops_set_status,UF-20250930-6Z17P,Unverified,Unredeemed,/ops/voucher/UF-20250930-6Z17P/status/Unredeemed,"111.90.201.42, 10.84.5.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",token_ok=1
2025-09-30T07:26:40,redeem_success,UF-20250930-6Z17P,Unredeemed,Redeemed,/redeem/UF-20250930-6Z17P,"111.90.201.42, 10.84.1.21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",enforce_phases=0
